TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,openbox,is the main graphical user interface and window manager
,lxqt, The LXQt desktop environment
,plasma, The KDE plasma desktop environment
,nvidia, NVIDIA drivers
,nvidia-utils,  NVIDIA drivers
,lib32-nvidia-utils, NVIDIA drivers
,xdotool, for killing windows with W-F4 in openbox
,xclip, xclip
,sddm, display manager
,kvantum-qt5, Qt theme engine
,qbittorrent, Torrent client
,nvidia-settings, nvidia driver settings
,neofetch, system information tool
,kdenlive, Video editor
,frei0r-plugins, For KDEnlive
,cmatrix, matrix-like terminal program
,clementine, graphical music player
,volumeicon, volume status indicator in system tray
,tint2, openbox panel
,noto-fonts, Noto fonts
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xwininfo,allows querying information about windows
,xorg-xinit,starts the graphical server
,xorg-xkill, 
,xorg-xset,
,xorg-xprop,
,xorg-xrandr,
,curl,
,wget,
,code,
,breeze-hacked-cursor-theme,
,papirus-icon-theme, Icon Theme
,rofi, application launcher
,dolphin, KDE file manager
,konsole, KDE terminal
,yakuake, KDE drop-down terminal
,zsh, the best shell
,ttf-inconsolata,is the monospace font of LARBS
,ttf-linux-libertine,provides the sans and serif fonts for LARBS
,arandr,is a UI for screen adjustment
,dosfstools,allows your computer to access dos-like filesystems
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,firefox,is the only program on LARBS your girlfriend has ever heard of
,gnome-keyring,serves as the system keyring
,gnome-themes-extra,gives the dark GTK theme used in LARBS
,networkmanager,does exactly what it sounds like
,network-manager-applet,appears in the top right corner and manages the wi-fi connection
,newsboat,is a terminal RSS client
,ntfs-3g,allows accessing NTFS partitions
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,pamixer,is a terminal audio control interface
,pulsemixer,is an intuitive ncurses audio controller
,python-pywal,generates color schemes based on your wallpaper
,scrot,can take quick screenshots at your request
,unrar,extracts rar's
,unzip,unzips zips
,7z,
,w3m,is a terminal browser which can also view images
,wget,downloads sites and files on the command line
,xcape,gives the special escape/super mappings of LARBS
,xdotool,provides window action utilities on the command line.
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,youtube-viewer,is a terminal interface for watching YouTube videos without a browser
,zathura,is a pdf viewer with vim-like bindings
,zathura-djvu,gives zathura the ability to read .djvu files
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura
,poppler,manipulates .pdfs and gives .pdf previews in ranger
,mediainfo,shows audio and video information and is used by ranger as well
,atool,manages and gives information about archives
,highlight,can highlight code output
A,task-spooler,queues commands or files for download
A,ls_extended, 
A,urlview,parses URLs in the terminal allowing keyboard-based selection
A,vim-pathogen,manages vim plugins
A,unclutter-xfixes-git,hides an inactive mouse
A,sc-im,is an Excel-like terminal spreadsheet manager
A,htop-vim-git,provides system usage information and displays processes
A,ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
A,i3lock-color-git,is the screen lock
A,qview, image viewer
A,compton-tryone-git,for transparency and removing screen-tearing
A,oh-my-zsh-git, stuff for the best shell
A,nerd-fonts-source-code-pro, 
